SMILES,Seno_Score,SEH_Score
Cc1ccc(S(=O)(=O)N(C)c2ccccc(N)c2=O)cc1,0.0297949351370334,1.9482862949371338
CC(=O)Oc1cc2c(cc1C(=O)c1ccccc1)CCC2C(=O)O,0.10845847427845,4.031619548797607
COC(=O)CC1CCc2cc(C(=O)c3ccccc3)c(O)cc21,0.613113284111023,3.905787229537964
COC(=O)C1CCc2cc(C(=O)c3ccccc3)c(OC)cc21,0.7099271416664124,4.105867862701416
CCCCOC(=O)C1CCc2cc(C(=O)c3ccccc3)c(O)cc21,0.1936086416244506,4.204322338104248
CCOC(=O)C1CCc2cc(C(=O)c3ccccc3)c(O)cc21,0.1526205539703369,4.185375690460205
COC(=O)C1CCc2cc(C(=O)c3cccs3)c(O)cc21,0.5345575213432312,3.647878408432007
CCCCCCCCCCCCCCCCNc1ccc(C(=O)OC(C)C(CO)C(C)O)cc1,0.0485955812036991,2.8429994583129883
CCCOc1nsc(NC(=O)NC)c1C(N)=O,0.1526623368263244,2.444795846939087
CCCOc1nsc(NC(=O)C(C)C)c1C#N,0.0294393822550773,2.3974499702453613
CCOC(N)=C(C#N)C(N)=S,0.2358321845531463,0.7674466967582703
CCOc1nsc(N)c1C#N,0.0065773632377386,1.459017276763916
CCOc1nsc(NC(=O)NC)c1C(N)=O,0.042765587568283,2.40700364112854
CCOc1nsc(NC(=O)Oc2ccccc2)c1C#N,0.0213486365973949,2.273744583129883
CCCOC(N)=C(C#N)C(N)=S,0.6412608027458191,0.8966935276985168
CCCOCC(O)CCC1SCC(=O)N1CCCCCCC(=O)O,0.002769383136183,1.0688468217849731
CCCOCC(O)CCC1N(CCCCCCC(=O)OC)C(=O)CS1=O,0.027187630534172,0.9537470936775208
COC(=O)NC(=S)Nc1cc(C(=O)c2ccccc2)ccc1NC(=S)NC(C)=O,1.3054451942443848,3.1980621814727783
COC(=O)NC(=S)Nc1ccc(C(=O)c2ccccc2)cc1NC(=S)NC(C)=O,1.0952616930007937,3.23490047454834
COC(=O)NC(=S)Nc1cc(C(=O)c2ccccc2)ccc1NC(=O)c1ccc([N+](=O)[O-])cc1,2.5142836570739746,4.197257041931152
COC(=O)NC(=S)Nc1cc(C(=O)c2ccccc2)ccc1NC(=O)c1ccccc1,1.1052030324935913,3.8730082511901855
COC(=O)NC(=S)Nc1cc(C(=O)c2ccccc2)ccc1NC(=O)Nc1ccccc1,1.6157958507537842,4.18204402923584
